"","UMAP1","UMAP2"
"Sample_1",-2.06256061553955,-0.543623099327087
"Sample_2",-2.20126586914062,-1.1193875169754
"Sample_3",-1.47079425811768,-0.887122282981873
"Sample_4",-1.6517763710022,-1.34156549930573
"Sample_5",-1.21720510482788,-0.590525040626526
"Sample_6",-0.812054214477539,-0.448903212547302
"Sample_7",-0.337477264404296,-0.670077452659607
"Sample_8",-0.138351020812988,-0.11314404964447
"Sample_9",0.212946834564209,-0.47888530254364
"Sample_10",0.756860437393189,-0.26612485408783
"Sample_11",-0.903978404998779,0.196037402153015
"Sample_12",1.78251737594605,-0.31024516582489
"Sample_13",0.968090953826905,0.250063767433166
"Sample_14",1.94109839439392,0.244900932312012
"Sample_15",1.52254837989807,0.10687171459198
"Sample_16",0.0899867439270023,0.33534740447998
"Sample_17",-0.635647354125976,0.821623613834381
"Sample_18",-1.2890735244751,0.54377209186554
"Sample_19",-0.932395992279052,0.98959659576416
"Sample_20",1.32466691970825,1.29584096908569
"Sample_21",0.709210100173951,1.36540280818939
"Sample_22",1.58380979537964,0.896069755554199
"Sample_23",0.840464057922364,0.930594613552093
"Sample_24",0.748935165405274,-0.746777186393738
"Sample_25",1.17144483566284,-0.459741005897522
