"","UMAP1","UMAP2"
"PIF_178",-3.82925888175121,-2.07669475418213
"PIF_087",-3.24355908507457,-1.13505783420685
"PIF_090",-4.1869283544456,-2.09545632940415
"NETL_005_V1",-4.26949270838847,-1.6060349170554
"PIF_115",1.06105557804951,0.136305185736387
"PIF_110",-3.52494963282695,-1.75770395365241
"NETL_019_V1",-0.154046140853074,-0.803049233971865
"NETCR_014_V1",3.64901439076314,1.87939617294189
"NETCR_014_V2",0.849016107376907,-0.100613144456179
"PIF_154",-0.441050850096848,-1.21336760860565
"NETL_022_V1",-0.613627754393723,-0.475935128747256
"NETL_022_V2",-1.17381014699092,0.216728302420347
"NETL_008_V1",-3.37992700213542,-1.97039514523628
"PIF_146",-2.19629936689487,-0.664341596185
"PIF_119",4.13609067326436,2.82903906959411
"PIF_099",3.62796489125142,2.83432624000427
"PIF_162",-1.43505730504146,-0.823978808938296
"PIF_160",-1.81583443680754,-0.207678583680422
"PIF_113",-0.277495585623887,-0.887818900166781
"PIF_143",-2.01985765272727,-0.24167051654938
"NETCR_007_V1",-1.55236139172664,-0.145105985223086
"NETCR_007_V2",-3.62687488669505,-2.50268295150879
"PIF_137",-3.16949769133678,-2.39817419391754
"PIF_100",3.57551185017476,2.98497197288391
"NETL_004_V1",1.77823916798482,0.343158694685667
"PIF_094",-0.540427528563645,-0.747867075024874
"PIF_132",-4.39657934779277,-1.92162745934609
"PIF_163",-1.92406889820447,-1.30176532012108
"NETCR_003_V1",3.69391242390523,2.41973206657287
"NETL_028_V1",-4.05746945017925,-2.36520442110184
"NETL_028_V2",2.1741589677895,1.10007092613098
"NETCR_013_V1",-2.46920450801006,-1.14212956768158
"NETL_020_V1",1.49514500027547,0.140240165175169
"NETL_020_V2",-0.695448599997666,-0.193911937295229
"PIF_192",2.02453175907979,0.138213249624937
"NETCR_012_V1",2.30701676731953,0.434344741286008
"NETCR_012_V2",-2.78997048014751,-1.5365641985524
"PIF_089",-3.5826176034843,-1.41316261631134
"NETCR_002_V1",0.488243736084792,-0.394423750458987
"PIF_179",2.37335864430318,1.36514970916626
"PIF_114",-2.51584609622112,-1.03688403707627
"NETCR_006_V1",-3.76400645846477,-1.65619739633682
"PIF_141",0.383544601258132,0.015998217047422
"NETCR_025_V1",-3.48808904761424,-2.55418786150101
"NETCR_025_V2",-4.14044269198528,-1.7991646279085
"NETCR_016_V1",-3.09992667311778,-1.21078452211502
"PIF_116",3.18731776600728,1.0243072237384
"PIF_191",4.06802932148823,2.49236437934753
"PIF_164",-3.5036780464088,-2.43184998375061
"NETL_013_V1",3.1751584184731,2.06967756408569
"PIF_188",3.32977525120625,2.12224599975464
"PIF_195",2.20657531147847,1.54632279533264
"NETCR_015_V1",-1.22618367547145,-1.17637970787171
"PIF_102",-0.0219117032920386,-0.595918682633669
"NETL_010_V1",3.82155791645894,2.79177043098327
"NETL_010_V2",3.99839536076436,3.20567795890686
"NETL_001_V1",-0.00423737639537114,0.0120553697955299
"NETCR_015_V2",-0.612333022299912,-0.971640673695834
"NETCR_005_V1",-2.13478972787013,-1.27197241526726
"PIF_111",2.71086732273946,0.546592446745603
"PIF_171",-1.83393398696533,-0.372688678323061
"NETCR_008_V1",3.92773810749898,3.15225836891052
"NETCR_008_V2",-0.873657904807236,0.078690620840757
"NETL_017_V1",1.83736339932332,0.535842629851072
"NETL_017_V2",3.82724849110493,2.73082301277038
"NETL_002_V1",0.664118923004958,-0.148131278573306
"NETL_002_V2",-2.64375814074626,-1.2852793310273
"PIF_190",3.12109223729024,2.24134490150329
"NETCR_009_V1",-2.8342781292831,-1.35516583663109
"NETCR_009_V2",3.43977586155781,1.28101012367126
"NETL_007_V1",2.95767251377949,0.824259730757444
"PIF_112",4.28526822453389,3.03398129600403
"NETCR_019_V2",-1.28024365777126,-1.0561775837529
"NETL_012_V1",2.78351060276875,0.656739922941892
"NETL_012_V2",2.60419980412373,0.871417972029417
"NETL_003_V1",2.76827374821553,1.3229174341571
"NETL_003_V2",3.01228848820576,1.6668636526477
